subject,propShort,propLong,SupraTentorialVol
aotus,-1.22982991324002,1.22982991324002,-1.25960428250652
cebus,-0.355823996155687,0.355823996155687,-0.199718461206235
colobus,-0.974581783850677,0.974581783850676,-0.124823066479493
galago,-0.668333841123998,0.668333841123997,-2.19248964169852
lagothrix,-0.534877346319437,0.534877346319436,-0.105185130418789
lophocebus,-0.635394500968485,0.635394500968485,0.048380058634297
pithecia,-0.732836868753919,0.732836868753917,-0.78861940982472
macaque,0.958720106994102,-0.958720106994103,-0.107646782034166
chimpanzee,-0.277354854664756,0.277354854664755,0.780013469148313
human,1.10482339482748,-1.10482339482748,1.52618896021103
bonobo,2.19411832738826,-2.19411832738826,0.732435590723239
gorilla,0.723790724336689,-0.723790724336689,0.843014363037207
orangutan,0.427580551530453,-0.427580551530454,0.848054332414355
