subject,SupraTentorialVol,cort_surf,conn_asymmetry
aotus,11185.005587,3857,0.0988650867415059
cebus,59497.640256,16376,0.138765231581661
colobus,66956.370557,18430,0.134270837943133
galago,2568.910793,1088,0.123836189652141
lagothrix,69062.287374,19555,0.148272068361101
lophocebus,87985.313128,20005,0.129730458716843
pithecia,23506.638062,7262,0.119557795599939
macaque,68794.7179554,16690.9333333333,0.147528023890924
chimpanzee,278913.689123862,57867.4137931034,0.153490974280956
human,904666.752849569,155520.310344828,0.147504659245603
bonobo,258753.4131405,60011.25,0.159116424873119
gorilla,308046.327597,65886.6666666667,0.145619123756718
orangutan,310504.3309785,65489.8333333333,0.182518752673963
