subject,SupraTentorialVol,cort_surf,Lnorm,Cnorm
aotus,11185.005587,3857,1.01562259669389,1.26372823604295
cebus,59497.640256,16376,1.08254397834912,1.5898088095296
colobus,66956.370557,18430,1.04160592964379,1.48832394143163
galago,2568.910793,1088,1.00992558026487,1.19516185653727
lagothrix,69062.287374,19555,1.07765611428662,1.52863776695606
lophocebus,87985.313128,20005,1.0560009642151,1.28016170398687
pithecia,23506.638062,7262,1.03549958668401,1.22363492934306
macaque,68794.7179554,16690.9333333333,1.08079444976932,1.36119640229623
chimpanzee,278913.689123862,57867.4137931034,1.08576392911343,1.65558771241283
human,904666.752849569,155520.310344828,1.05441745295855,1.44045108741516
bonobo,258753.4131405,60011.25,1.13316074946122,1.8911295765491
gorilla,308046.327597,65886.6666666667,1.07803504280576,1.84436064015373
orangutan,310504.3309785,65489.8333333333,1.05434204153175,1.4836459595793
