subject,CortexVol,CerebralWhiteMatterVol,SupraTentorialVol,CerebralGrayMatterVol,cort_surf,cort_thickness,total_cc_area
aotus,6631.391253,2971.502627,11185.005587,7985.639002,3857,1.30377,29.3599965000154
cebus,29043.24108,23259.332479,59497.640256,35064.21299,16376,1.46911,135.989983788729
colobus,29797.077734,30083.215104,66956.370557,35968.655617,18430,1.358095,122.219985430241
galago,1192.804694,954.234073,2568.910793,1564.35953,1088,0.812714,12.0526881484469
lagothrix,35960.557511,24590.251404,69062.287374,43417.848161,19555,1.502595,113.039986524582
lophocebus,43514.159728,35263.939066,87985.313128,50617.102442,20005,1.77929,132.839984164238
pithecia,13210.762137,7120.282175,23506.638062,15840.730887,7262,1.437465,52.625
macaque,37310.8465126,24746.7381092667,68794.7179554,43101.3798459333,16690.9333333333,2.01288733333333,143.266670036316
chimpanzee,117937.634913552,133296.936321345,278913.689123862,140946.762821966,57867.4137931034,1.87813862068965,438.666547074773
human,403121.17663431,431106.403801397,904666.752849569,454728.107668793,155520.310344828,2.32288267241379,737.637964852928
bonobo,129525.50003925,104468.30961325,258753.4131405,150227.011099,60011.25,2.022145,331.67502859235
gorilla,149101.303170333,131355.223251667,308046.327597,171915.336704333,65886.6666666667,2.15216,420.696661431789
orangutan,144879.155631333,138756.842013667,310504.3309785,165831.322298,65489.8333333333,2.16477166666667,468.333353837331
gibbon,35005.7399983333,31033.5802173333,74252.717307,41966.3369776667,22012.6666666667,1.49846,188.810394502923
