subject,SupraTentorialVol,avg,skew
aotus,-1.25960428250652,-1.40746585541494,0.323608593439283
cebus,-0.199718461206235,0.641887801576071,-0.948587496929227
colobus,-0.124823066479493,-0.611896282470307,2.10157137267938
galago,-2.19248964169852,-1.58202234724787,-0.321082544813204
lagothrix,-0.105185130418789,0.492978110134708,-1.03551540161976
lophocebus,0.048380058634297,-0.185482977801207,-0.852574536411409
pithecia,-0.78861940982472,-0.802694481569511,0.700138834259397
macaque,-0.107646782034166,0.517537365666429,-0.524107605442835
chimpanzee,0.780013469148313,0.732476106596739,0.41236677353418
human,1.52618896021103,-0.235064236028761,-0.283364768834715
bonobo,0.732435590723239,2.15280873078486,0.332713489422942
gorilla,0.843014363037207,0.512714778071413,1.37898854667102
orangutan,0.848054332414355,-0.225776712297616,-1.28415525595505
